id,name,current_category,proposed_sector,confidence,note
1,End of Term Archive,Established,preservation_effort,high,"Coordinated effort to save federal websites — clearly preservation"
2,Environmental Data & Governance Initiative (EDGI),Established,academia_research,high,"Self-describes as 'research collaborative'; PDF lists under Academia & Research"
4,Harvard's Library Innovation Lab Team,Established,academia_research,high,"Harvard Law library project; PDF lists under Repository Host / Academic — going with academia_research. DUPLICATE of id 31 — merge."
5,ICPSR,Established,data_platform,high,"Repository/consortium for data access; PDF explicitly lists as Repository Host"
6,IPUMS,Established,data_platform,medium,"Integrates & disseminates census data — platform/repository behavior. PDF lists under Academic but function is platform-like. Judgment call."
7,Dryad,Established,data_platform,high,"Generalist repository — textbook data platform"
8,Webrecorder,Established,data_platform,high,"PDF lists as Repository Host"
9,Wayback Machine,Established,data_platform,high,"Archive platform / Internet Archive"
10,America's Essential Data,Advocacy,preservation_effort,medium,"Advocacy-flavored but focused on federal data value — sits closer to preservation network"
11,Policy Commons Open Collection,Established,preservation_effort,high,"PDF explicitly lists Policy Commons as Preservation Network"
12,Stanford's Big Local News,Established,academia_research,high,"Stanford journalism project. DUPLICATE of id 32 — merge."
13,Data Liberation Project,Advocacy,preservation_effort,high,"'Liberating government data' — preservation/rescue work"
14,Silencing Science Tracker,Advocacy,academia_research,high,"Columbia Law Sabin Center project — academic watchdog"
15,The LGBTQ+ Archive,Ad Hoc,preservation_effort,high,"'Independent effort to preserve and make accessible'"
16,American Geophysical Union (AGU),Climate & Environment,academia_research,high,"Scientific society. PDF lists as PEDP partner in preservation context but primary identity is academic/research"
17,Climate-Ocean Data Action Network (CDAN),Climate & Environment,preservation_effort,high,"'Coalition developing guidance for safeguarding ocean-climate data'"
18,Data Foundation - Climate Data Collaborative,Climate & Environment,preservation_effort,high,"PDF explicitly lists Data Foundation as Preservation Network"
19,Group on Reference Quality Data sets (GRQDs),Climate & Environment,preservation_effort,medium,"'Identifying and preserving at-risk datasets' — preservation work; hosted at S&P (company) but activity is preservation"
20,Keeling Curve Foundation (KCF),Climate & Environment,preservation_effort,high,"Data Continuity Initiative focus — preservation"
21,National Academies (NASEM) Earth Obs Workshop,Climate & Environment,academia_research,high,"National Academies convening — PDF lists under Academia & Research"
22,Cornerstone Data Initiative,Data Preservation,data_platform,medium,"Name suggests preservation but activity (maintaining/merging USEEIO and CEDA models) is platform/tooling. Judgment call."
23,FracTracker,Data Preservation,preservation_effort,medium,"Primary work is community mapping/documentation; has 'Archives and/or Mirrors' capability tag. Could go either preservation or data_platform — leaning preservation based on mission."
24,Environmental & Health Data & Analysis Trust,Data Preservation,data_platform,medium,"Analytical platform for state/local agencies — more platform than preservation effort"
25,New York Climate Exchange (NYCE),Data Preservation,preservation_effort,high,"Your own org — Climate Data Stewardship initiative"
26,Public Environmental Data Partners (PEDP),Data Preservation,preservation_effort,high,"PDF explicitly calls PEDP the largest Preservation Network"
27,The Data Rescue Project,Data Preservation,preservation_effort,high,"PDF explicitly lists as Preservation Network"
28,Climate.us,Crosscutting,data_platform,high,"'Successor to climate.gov, delivering climate data' — portal/platform"
29,CODE (Center for Open Data Enterprise),Crosscutting,preservation_effort,medium,"Cross-sector convenings for open government data — preservation-adjacent. Could also be academia_research. Judgment call."
30,The Impact Project,Crosscutting,preservation_effort,medium,"Self-describes as 'data platform' but mission is advocacy/civic. Could be data_platform."
31,Harvard's Library Innovation Lab Team,Established,academia_research,high,"DUPLICATE of id 4 — merge and drop this row."
32,Stanford's Big Local News,Established,academia_research,high,"DUPLICATE of id 12 — merge and drop this row."
